source_key,repository,collection,source_type,source_rel,bytes,words,sha256,inventory_status
ZhJpBook:books/genji-modern/markdown/zh.clean.md,ZhJpBook,genji-modern,book-markdown,books/genji-modern/markdown/zh.clean.md,2499383,102195,31fed9a4682318b56bd3687aa261a681dd49e03ca0f121e1342197c4f3c9c0a0,catalogued-not-substantively-read
ZhJpBook:books/genji-modern/markdown/zh.md,ZhJpBook,genji-modern,book-markdown,books/genji-modern/markdown/zh.md,2499383,102195,31fed9a4682318b56bd3687aa261a681dd49e03ca0f121e1342197c4f3c9c0a0,catalogued-not-substantively-read
ZhJpBook:books/genji-modern/markdown/zh.raw.md,ZhJpBook,genji-modern,book-markdown,books/genji-modern/markdown/zh.raw.md,2632623,122232,4db1f2548ac6a3e7332d341b91c8039d6da74b24830bba629af576775228d720,catalogued-not-substantively-read
ZhJpBook:books/germinal/markdown/en.md,ZhJpBook,germinal,book-markdown,books/germinal/markdown/en.md,998191,178242,4a1971b1c30266a05e3de22ab4e1c47cd3b72ce64749db16eb5a08f7f52324f5,catalogued-not-substantively-read
ZhJpBook:books/gibran-the-prophet/markdown/en.md,ZhJpBook,gibran-the-prophet,book-markdown,books/gibran-the-prophet/markdown/en.md,42777,8135,9c712926d41c1ad32019fc22249c537bf38265c588f38605fd0e5390cd070e4d,catalogued-not-substantively-read
ZhJpBook:books/gibran-the-prophet/markdown/zh.md,ZhJpBook,gibran-the-prophet,book-markdown,books/gibran-the-prophet/markdown/zh.md,2996,198,f99f42bc5325fb776e73468afe6ad39e9acbbd4583ea56db9ce8353adeb291c9,catalogued-not-substantively-read
ZhJpBook:books/ginga-tetsudo/markdown/ja.clean.md,ZhJpBook,ginga-tetsudo,book-markdown,books/ginga-tetsudo/markdown/ja.clean.md,115383,2148,b845f324dcba19ba15e41e4b6130f7b7b65eedd81888771cc7a02a0c97400c04,catalogued-not-substantively-read
ZhJpBook:books/ginga-tetsudo/markdown/ja.md,ZhJpBook,ginga-tetsudo,book-markdown,books/ginga-tetsudo/markdown/ja.md,115383,2148,b845f324dcba19ba15e41e4b6130f7b7b65eedd81888771cc7a02a0c97400c04,catalogued-not-substantively-read
ZhJpBook:books/ginga-tetsudo/markdown/zh.clean.md,ZhJpBook,ginga-tetsudo,book-markdown,books/ginga-tetsudo/markdown/zh.clean.md,85053,2719,5caa0c3202742ade3de0a879c860e7b241dc9f8c6cba42aadf426869cd703d18,catalogued-not-substantively-read
ZhJpBook:books/ginga-tetsudo/markdown/zh.md,ZhJpBook,ginga-tetsudo,book-markdown,books/ginga-tetsudo/markdown/zh.md,85053,2719,5caa0c3202742ade3de0a879c860e7b241dc9f8c6cba42aadf426869cd703d18,catalogued-not-substantively-read
ZhJpBook:books/ginga-tetsudo/markdown/zh.raw.md,ZhJpBook,ginga-tetsudo,book-markdown,books/ginga-tetsudo/markdown/zh.raw.md,158971,6004,c8ecbe067f8596646b0b62f1fe901cd88ff005377469861d1d1ead6f985bd5ac,catalogued-not-substantively-read
ZhJpBook:books/giving-up-the-gun/markdown/en.md,ZhJpBook,giving-up-the-gun,book-markdown,books/giving-up-the-gun/markdown/en.md,155481,25929,9a4c827201ddf72353259486dec18cf47562c94e22f122b20f021651e97b6bcd,catalogued-not-substantively-read
ZhJpBook:books/gone-with-the-wind/markdown/en.md,ZhJpBook,gone-with-the-wind,book-markdown,books/gone-with-the-wind/markdown/en.md,2312540,419673,478b1e6374508bdd8ecba24807f4e00e63d8523ac07a1fedf841b03a6ca205c5,catalogued-not-substantively-read
ZhJpBook:books/gone-with-the-wind/markdown/ja.md,ZhJpBook,gone-with-the-wind,book-markdown,books/gone-with-the-wind/markdown/ja.md,1495834,34379,1ee84d0a197cf150ba73d5633c5b5db8e426a6658ae606418284e00e7d4ece77,catalogued-not-substantively-read
ZhJpBook:books/gone-with-the-wind/markdown/zh.md,ZhJpBook,gone-with-the-wind,book-markdown,books/gone-with-the-wind/markdown/zh.md,2360948,75282,ab1572b48c77b426f2ba968b9056f8d3fe21d2994f4538ef41ed100e4e1a9145,catalogued-not-substantively-read
ZhJpBook:books/gone-with-the-wind/markdown/zh.reference.md,ZhJpBook,gone-with-the-wind,book-markdown,books/gone-with-the-wind/markdown/zh.reference.md,2376566,74112,42394aa49486ee5647aaa3f711a27b5a1f610e6d22ea4341a0db16b5f8b35923,catalogued-not-substantively-read
ZhJpBook:books/good-strategy-bad-strategy/markdown/en.md,ZhJpBook,good-strategy-bad-strategy,book-markdown,books/good-strategy-bad-strategy/markdown/en.md,645281,105142,fde630b0524b9e392706dd11fa9868b3d9227ed65ab293cc8729fbca6338485c,catalogued-not-substantively-read
ZhJpBook:books/good-strategy-bad-strategy-complete-structure-repair/markdown/en.md,ZhJpBook,good-strategy-bad-strategy-complete-structure-repair,book-markdown,books/good-strategy-bad-strategy-complete-structure-repair/markdown/en.md,594938,97069,ad9c92fc5a246d0b70e04e8486f45d19f361587c3da1019f2a8df1b8a0dc9494,catalogued-not-substantively-read
